Ax;Ay;Az;
1.0627;0.0334;0.0723;
1.0840;0.0002;0.0510;
1.0889;0.0149;0.0801;
1.0647;0.0081;0.0325;
1.0303;-0.0093;0.0393;
1.0181;0.0151;0.0310;
1.0168;-0.0020;0.0146;
1.0129;0.0212;0.0046;
0.8760;-0.0593;0.0259;
0.7952;0.1304;0.0854;
0.9370;-0.0137;0.3594;
1.0032;-0.1375;-0.0051;
1.0486;-0.0181;-0.0862;
1.0598;-0.0674;-0.1321;
0.9771;0.0684;0.0845;
0.9868;0.0225;0.1726;
1.0056;0.0337;0.2253;
0.9939;0.0012;0.0991;
1.0205;0.0452;0.0833;
1.0347;0.0354;-0.0210;
1.0066;0.0024;0.0491;
1.0256;0.0205;0.0366;
1.0210;0.0251;0.0439;
1.0156;0.0144;0.0388;
1.0237;0.0210;0.0317;
1.0266;0.0205;0.0403;
1.0195;0.0212;0.0454;
1.0210;0.0225;0.0288;
1.0391;0.0291;0.0334;
1.0254;0.0220;0.0347;
1.0313;0.0186;0.0356;
1.0403;0.0176;0.0171;
1.0278;0.0176;0.0325;
1.0166;0.0205;0.0354;
1.0166;0.0161;0.0303;
1.0127;0.0007;0.0420;
1.0156;0.0310;0.0342;
1.0305;0.0215;0.0449;
1.0249;0.0154;0.0261;
1.0022;0.0215;0.0317;
1.0215;0.0037;0.0378;
1.0273;0.0242;0.0359;
1.0349;0.0200;0.0349;
1.0225;0.0229;0.0405;
1.0413;0.0159;0.0432;
1.0386;0.0168;0.0410;
1.0225;0.0190;0.0334;
1.0229;0.0217;0.0298;
1.0212;0.0159;0.0315;
1.0203;0.0159;0.0325;
1.0198;0.0249;0.0325;
1.0164;0.0264;0.0374;
1.0137;0.0181;0.0349;
1.0208;0.0186;0.0376;
1.0322;0.0190;0.0361;
1.0305;0.0210;0.0288;
1.0242;0.0149;0.0337;
1.0281;0.0171;0.0342;
1.0359;0.0144;0.0327;
1.0374;0.0300;0.0386;
1.0266;0.0205;0.0339;
1.0261;0.0203;0.0361;
1.0122;0.0039;0.0229;
1.0291;0.0195;0.0400;
1.0361;0.0264;0.0378;
1.0295;0.0156;0.0383;
1.0254;0.0190;0.0374;
1.0386;0.0225;0.0176;
1.0281;0.0168;0.0308;
1.0271;0.0291;0.0354;
1.0222;0.0205;0.0359;
1.0044;0.0203;0.0342;
1.0403;0.0193;0.0276;
1.0330;0.0178;0.0159;
1.0305;0.0193;0.0381;
1.0161;0.0154;0.0383;
1.0210;0.0220;0.0386;
1.0161;0.0232;0.0286;
1.0283;0.0300;0.0332;
1.0066;0.0154;0.0376;
1.0203;0.0161;0.0315;
1.0181;0.0159;0.0305;
1.0205;0.0220;0.0291;
1.0269;0.0027;0.0398;
1.0286;0.0200;0.0337;
1.0378;0.0229;0.0417;
1.0239;0.0295;0.0325;
1.0237;0.0229;0.0325;
1.0181;0.0222;0.0330;
1.0308;0.0225;0.0342;
1.0227;0.0310;0.0276;
1.0371;0.0205;0.0386;
1.0161;0.0149;0.0295;
1.0349;0.0044;0.0308;
1.0203;0.0183;0.0364;
1.0215;0.0178;0.0325;
1.0278;0.0239;0.0369;
1.0171;0.0200;0.0305;
1.0161;0.0239;0.0171;
1.0042;0.0276;0.0369;
1.0391;0.0205;0.0332;
1.0164;0.0286;0.0315;
1.0278;0.0137;0.0315;
1.0188;0.0225;0.0298;
1.0256;0.0193;0.0354;
1.0308;0.0198;0.0386;
1.0237;0.0161;0.0325;
1.0352;0.0254;0.0342;
1.0081;0.0210;0.0403;
1.0305;0.0234;0.0327;
1.0125;0.0186;0.0386;
1.0239;0.0205;0.0410;
1.0193;0.0144;0.0332;
1.0242;0.0234;0.0364;
1.0002;0.0251;0.0354;
1.0183;0.0195;0.0400;
1.0454;0.0095;0.0288;
1.0059;0.0059;0.0222;
1.0137;0.0215;0.0452;
1.0310;0.0193;0.0356;
1.0415;0.0034;-0.0247;
1.0090;0.0588;0.1377;
1.0264;0.0208;0.0220;
1.0227;0.0210;0.0305;
